,actual,predicted
0,3,2
1,1,1
2,2,2
3,0,0
4,2,3
5,3,3
6,1,1
7,2,2
8,1,1
9,3,3
10,2,2
11,1,1
12,0,0
13,0,0
14,3,3
15,0,0
16,1,1
17,1,1
18,2,2
19,3,3
20,1,1
21,1,1
22,3,3
23,3,3
24,1,1
25,3,3
26,3,3
27,2,2
28,2,2
29,2,3
30,3,3
31,3,3
32,3,2
33,3,3
34,2,0
35,0,0
36,3,0
37,0,0
38,0,0
39,0,0
40,1,1
41,0,0
42,0,0
43,0,0
44,0,0
45,3,3
46,1,1
47,3,3
48,1,1
49,0,0
50,0,0
51,1,1
52,2,2
53,2,2
54,2,2
55,1,1
56,3,3
57,3,3
58,2,2
59,2,2
60,2,2
61,3,3
62,3,3
63,3,3
64,2,2
65,2,2
66,0,0
67,1,1
68,3,3
69,1,1
70,1,1
71,2,2
72,2,2
73,3,3
74,3,3
75,3,0
76,2,2
77,0,0
78,0,0
79,3,2
80,3,3
81,0,3
82,1,1
83,1,1
84,2,2
85,3,3
86,1,1
87,3,3
88,2,2
89,3,3
90,2,2
91,1,1
92,2,2
93,0,2
94,1,1
95,3,3
96,0,0
97,3,2
98,2,3
99,0,0
100,1,1
101,2,2
102,2,2
103,0,0
104,3,3
105,1,1
106,0,0
107,2,2
108,0,0
109,2,2
110,3,3
111,0,0
112,0,0
113,0,0
114,2,2
115,3,3
116,0,0
117,2,0
118,0,0
119,2,2
120,3,3
121,1,1
122,0,0
123,2,2
124,2,2
125,2,2
126,0,0
127,1,1
128,2,2
129,2,3
130,1,1
131,3,3
132,1,1
133,0,0
134,0,0
135,2,2
136,3,3
137,0,0
138,1,1
139,3,3
140,0,0
141,2,0
142,1,1
143,1,1
144,0,3
145,0,0
146,1,1
147,1,1
148,0,0
149,3,2
150,2,2
151,3,3
152,3,3
153,3,3
154,3,3
155,1,1
156,1,1
157,0,0
158,0,0
159,3,3
160,3,3
161,1,1
162,0,0
163,3,3
164,3,3
165,0,3
166,2,2
167,1,1
168,0,0
169,2,0
170,3,3
171,3,3
172,3,3
173,0,0
174,1,1
175,3,3
176,0,0
177,1,1
178,1,1
179,3,3
180,2,2
181,2,0
182,3,3
183,2,2
184,2,2
185,1,1
186,2,0
187,2,2
188,3,3
189,2,2
190,1,1
191,3,3
192,2,2
193,2,2
194,2,2
195,1,1
196,3,3
197,0,0
198,3,3
199,2,2
200,0,0
201,1,1
202,1,1
203,3,3
204,1,1
205,2,3
206,0,0
207,3,3
208,0,0
209,1,1
210,0,0
211,1,0
212,2,2
213,3,3
214,2,2
215,3,3
216,3,3
217,3,3
218,3,3
219,2,2
220,2,2
221,1,1
222,1,1
223,0,0
224,3,3
225,2,2
226,1,1
227,3,3
228,1,1
229,2,2
230,3,3
231,2,3
232,3,3
233,0,0
234,2,2
235,1,1
236,3,3
237,0,0
238,2,0
239,0,0
240,0,2
241,3,2
242,2,2
243,3,3
244,1,1
245,2,2
246,1,1
247,0,0
248,0,0
249,0,0
250,0,0
251,1,1
252,0,0
253,2,2
254,2,2
255,3,3
256,2,2
257,2,2
258,3,3
259,2,2
260,2,2
261,3,1
262,3,3
263,0,0
264,3,3
265,1,1
266,0,1
267,0,0
268,0,0
269,0,0
270,2,2
271,2,2
272,2,2
273,0,0
274,1,1
275,2,3
276,0,0
277,0,0
278,1,1
279,3,3
280,0,0
281,0,0
282,0,1
283,2,3
284,2,2
285,0,0
286,0,0
287,1,1
288,0,0
289,1,1
290,1,1
291,3,3
292,2,2
293,0,0
294,1,1
295,2,2
296,3,3
297,3,3
298,2,2
299,1,1
300,3,0
301,3,1
302,2,2
303,2,2
304,1,1
305,0,0
306,0,0
307,3,3
308,0,0
309,0,3
310,3,3
311,2,2
312,0,0
313,3,3
314,1,1
315,3,3
316,2,2
317,1,1
318,3,3
319,2,2
320,1,1
321,3,3
322,2,2
323,3,3
324,0,2
325,2,2
326,1,1
327,0,0
328,2,2
329,0,0
330,3,2
331,1,1
332,1,1
333,0,0
334,2,2
335,1,1
336,0,0
337,1,1
338,1,1
339,1,1
340,2,2
341,3,3
342,2,2
343,3,3
344,1,1
345,3,3
346,1,1
347,0,0
348,3,3
349,1,1
350,3,3
351,3,2
352,3,3
353,3,3
354,3,3
355,2,2
356,3,3
357,1,1
358,2,2
359,2,2
360,0,1
361,0,0
362,0,0
363,2,2
364,0,0
365,1,1
366,1,1
367,3,3
368,1,1
369,0,0
370,0,0
371,2,2
372,3,3
373,1,1
374,2,2
375,0,0
376,3,3
377,3,3
378,3,3
379,3,2
380,3,3
381,0,0
382,2,2
383,3,3
384,3,3
385,2,2
386,1,1
387,1,1
388,0,1
389,1,1
390,3,3
391,2,3
392,1,1
393,1,1
394,0,0
395,1,1
396,1,1
397,0,2
398,0,0
399,1,1
400,2,2
401,1,1
402,1,1
403,1,1
404,1,1
405,3,3
406,2,2
407,0,0
408,0,0
409,3,3
410,2,2
411,2,2
412,0,0
413,0,0
414,3,3
415,2,2
416,1,1
417,1,1
418,0,0
419,2,2
420,2,3
421,2,2
422,3,3
423,1,1
424,3,3
425,3,3
426,2,2
427,0,0
428,0,0
429,0,1
430,3,3
431,2,2
432,1,1
433,1,1
434,2,2
435,1,1
436,1,1
437,3,3
438,0,0
439,1,1
440,2,2
441,1,1
442,0,0
443,0,0
444,3,2
445,3,3
446,0,0
447,1,1
448,1,1
449,3,3
450,3,3
451,2,2
452,3,3
453,3,3
454,0,0
455,3,3
456,3,3
457,2,2
458,2,2
459,0,0
460,0,0
461,3,3
462,3,3
463,0,0
464,0,0
465,2,2
466,1,1
467,0,0
468,0,0
469,0,0
470,3,3
471,3,3
472,3,3
473,1,1
474,3,0
475,0,0
476,3,3
477,1,1
478,3,3
479,3,3
480,1,1
481,1,1
482,0,0
483,2,1
484,1,1
485,0,2
486,1,1
487,2,2
488,1,1
489,1,1
490,0,0
491,3,3
492,3,3
493,0,2
494,2,2
495,1,1
496,0,0
497,2,2
498,0,0
499,0,0
500,3,2
501,1,1
502,0,3
503,3,3
504,2,2
505,1,1
506,0,0
507,3,3
508,1,1
509,3,3
510,1,1
511,2,3
512,1,1
513,1,1
514,1,1
515,1,1
516,0,0
517,2,3
518,3,2
519,2,2
520,2,2
521,0,0
522,1,1
523,3,3
524,0,0
525,1,1
526,0,0
527,3,3
528,1,1
529,1,1
530,0,0
531,0,0
532,2,2
533,2,2
534,2,2
535,3,3
536,3,3
537,2,2
538,1,1
539,0,0
540,3,3
541,2,2
542,3,2
543,3,3
544,3,0
545,1,1
546,0,0
547,3,3
548,0,0
549,1,1
550,1,1
551,0,0
552,1,1
553,2,2
554,1,1
555,0,0
556,2,2
557,3,3
558,0,0
559,1,1
560,1,1
561,1,1
562,1,1
563,1,1
564,2,3
565,1,1
566,3,3
567,0,0
568,0,1
569,1,1
570,3,3
571,0,0
572,0,0
573,0,0
574,1,1
575,2,2
576,0,0
577,1,1
578,3,3
579,0,2
580,1,1
581,2,2
582,0,0
583,1,1
584,1,1
585,0,0
586,1,1
587,1,1
588,3,3
589,2,2
590,0,0
591,0,3
592,1,1
593,2,2
594,0,2
595,0,0
596,2,0
597,2,3
598,2,2
599,3,2
600,2,2
601,2,2
602,1,1
603,0,0
604,2,2
605,1,1
606,2,2
607,3,3
608,3,3
609,1,1
610,2,2
611,0,0
612,3,3
613,3,2
614,1,1
615,1,1
616,1,1
617,1,1
618,2,2
619,1,1
620,3,3
621,2,3
622,0,0
623,1,1
624,3,0
625,1,1
626,1,1
627,2,2
628,2,2
629,3,3
630,2,2
631,2,2
632,0,0
633,1,1
634,1,1
635,2,0
636,3,3
637,0,3
638,1,1
639,2,2
640,0,0
641,3,3
642,1,1
643,3,2
644,1,1
645,0,0
646,2,2
647,3,3
648,0,0
649,1,1
650,3,2
651,0,0
652,1,1
653,3,2
654,1,1
655,2,2
656,0,0
657,3,3
658,3,2
659,1,1
660,1,1
661,2,3
662,2,2
663,0,3
664,3,3
665,0,0
666,0,3
667,2,3
668,1,1
669,2,2
670,3,3
671,0,0
672,1,1
673,2,2
674,3,3
675,3,3
676,2,2
677,1,1
678,1,1
679,2,2
680,1,1
681,1,3
682,2,2
683,1,1
684,0,0
685,2,2
686,1,1
687,2,3
688,3,3
689,2,2
690,3,3
691,0,0
692,2,2
693,2,2
694,0,0
695,2,2
696,3,3
697,3,3
698,0,0
699,3,3
700,3,3
701,0,0
702,3,2
703,0,0
704,1,1
705,2,2
706,3,3
707,1,1
708,2,3
709,3,3
710,3,3
711,1,1
712,3,3
713,2,2
714,2,2
715,2,2
716,0,0
717,1,1
718,0,0
719,1,1
720,1,1
721,3,3
722,1,1
723,1,1
724,1,1
725,3,3
726,2,0
727,3,3
728,0,0
729,3,3
730,0,0
731,3,1
732,3,2
733,3,3
734,1,1
735,0,0
736,1,1
737,0,0
738,2,2
739,0,0
740,2,2
741,0,0
