text_filtered,label
wall st. bears claw black reuters reuters short seller wall street dwindling\band ultra cynic see green,2
"carlyle look commercial aerospace reuters reuters private investment firm carlyle group,\which reputation make time occasionally\controversial play defense industry quietly placed\it bet market",2
oil economy cloud stocks outlook reuters reuters soar crude price plus worries\about economy outlook earning expect to\hang stock market week depth the\summer doldrum,2
iraq halts oil exports main southern pipeline reuters reuters authorities halt oil export\flow main pipeline southern iraq after\intelligence show rebel militia strike\infrastructure oil official say saturday,2
oil price soar time record pose new menace economy afp afp tearaway world oil price topple record strain wallet present new economic menace barely month presidential election,2
stock end near year lows reuters reuters stocks end slightly high friday\but stay near low year oil price surge past 36;46\a barrel offset positive outlook computer maker\dell inc. dell.o,2
money funds fell late week ap ap assets nation retail money market mutual fund fall 36;1.17 billion late week 36;849.98 trillion investment company institute say thursday,2
fed minute dissent inflation usatoday.com usatoday.com retail sale bounce bit july new claim jobless benefit fall week government say thursday indicate economy improve midsummer slump,2
"safety net forbes.com forbes.com earn ph.d. sociology danny bazil riley start work general manager commercial real estate firm annual base salary 36;70,000 soon financial planner stop desk drop brochure insurance benefit available employer 32 buy insurance furth thing mind say riley",2
wall st. bears claw black new york reuters short seller wall street dwindle band ultra cynic see green,2
oil economy cloud stocks outlook new york reuters soar crude price plus worry economy outlook earning expect hang stock market week depth summer doldrum,2
need opec pump iran gov tehran reuters opec douse scorch oil price market oversupplie 2.8 million barrel day bpd crude iran opec governor say saturday warn price fall sharply,2
non opec nation output purnomo jakarta reuters non opec oil exporter consider increase output cool record crude price opec president purnomo yusgiantoro say sunday,2
google ipo auction rocky start washington new york reuters auction google inc. highly anticipate initial public offering get rocky start friday web search company sidestep bullet u.s. security regulator,2
dollar falls broadly record trade gap new york reuters dollar tumble broadly friday datum show record u.s. trade deficit june cast fresh doubt economy recovery ability draw foreign capital fund grow gap,2
rescue old saver think need help elderly relative finance shy have money talk soon,2
kid rule school purchasing power kid big school season huge marketing phenomenon,2
market head value funds little cause celebration stock market day investor value focus mutual fund reason feel bit smug lose folk stick growth,2
trade deficit swell june trade deficit explode 19 record \$55.8bn oil cost drive import higher accord late figure,2
shell target total oil giant shell brace takeover attempt possibly french rival total press report claim,2
google ipo face playboy slip bidding get underway google public offering despite minute worry interview boss playboy magazine,2
eurozone economy keeps grow official figure 12 nation eurozone economy continue grow warning slow later year,2
expansion slow japan economic growth japan slow country experience drop domestic corporate spending,2
rand fall shock sa rate cut interest rate trim 7.5 south african central bank lack warning hit rand surprise market,2
car price board cost buy new second hand car fall sharply past year new survey find,2
south korea lower interest rate south korea central bank cut interest rate quarter percentage point 3.5 bid drive growth economy,2
google auction begin friday auction share google web search engine float \$36bn take place friday,2
hp share tumble profit news hewlett packard share fall disappoint quarter profit firm warn final quarter fall short expectation,2
mauritian textile firm cut job old textile operator indian ocean island mauritius week shut seven factory cut 900 job,2
"chad seek refugee aid imf chad ask imf loan pay look 100,000 refugee conflict tear darfur western sudan",2
japan nuclear firm shut plant company run japanese nuclear plant hit fatal accident close reactor safety check,2
veteran inventor market float trevor baylis veteran inventor famous create freeplay clockwork radio plan float company stock market,2
saudi arabia open oil tap saudi arabia say ready push extra 1.3 million barrel day oil market help reverse surge price,2
saudi phone sector get \$1bn lift group lead uae etisalat plan spend \$1bn 544 m expansion win mobile phone licence saudi arabia,2
indians fill rail skill shortage network rail fly specialist indian engineer work west coast mainline uk skill shortage,2
steady bedford scientist nitromed inc. hope experimental drug cure heart disease someday lately focus mundane matter,2
google ipo type confusing secrecy submit bid buy share google inc. computer search company giant auction style initial public offering turn good news bad news,2
bargain hunter paradise massachusetts bargain hunter show drove shop hard yesterday sale tax holiday buy treadmill snow blower candle chandelier credit 5 percent tax break bring store,2
researcher seek untangle e mail thread e mail victim success conclusion ibm corp. researcher cambridge spend nearly decade conduct field test ibm company employee work use electronic mail clear e mail internet killer application,2
microsoft corp. 2.0 kind corporate culture genius mess bill gates brilliant technologist cofounde microsoft guide greatness size historical consequence blunder terrorize underling temper parcel praise like scrooge give charity lash inspire necessary aggressiveness beat competition think,2
letter target abuser legal weapon share outrage express columnist steve bailey summer sizzler quot aug. 11 killing city poor neighborhood need share ignorance argue renewal call assault weapon ban claim uzi ak-47s flood street quot,2
gleam gloom president bush say economy turn corner quot democratic presidential candidate senator john f. kerry wake month poor job report quip like u turn,2
technology company sue ex employee marlborough base technology company sue employee include senior manager allegedly conspire employer work open compete business,2
"grant aid lynn central square central square lynn look bit bright new sidewalk curb fence light landscaping road improvement plan gateway artisan block key area square \$830,000 state grant money give lynn week",2
"state grant aid lynn bank give salem \$10k central square lynn look bit bright new sidewalk curb fence light landscaping road improvement plan gateway artisan block key area square \$830,000 state grant money give lynn week",2
new legal chapter 90 flameout lawsuit gary winnick chief global crossing refocus attention mr. winnick know company finance implode,2
russia oil superpower flex muscles russia emerge superpower reason nuclear weapon oil,2
switch titles gears dell kevin b. rollins new chief executive dell talk dell transitory slip customer service see broad technology recovery take place,2
sale ultimate status symbol country need cash rich people die wealth mr. stein propose unique solution have government sell title nobility,2
quality get swept away quality distribution hammer report large loss second quarter,2
make insurer pay hurricane charley blow house insurance company pay,2
delightful dell company result grim tech world dell,2
chrysler ble king tough year detroit troubled carmaker thank maverick designer car dazzle hip hop crowd,2
cool pool hot deck americans spend trick place swim look new wave accessory,2
age doom 1993 geek digital nightmare change culture far creepier,2
hip hop online shop celebrity fashion boom webpreneur bring main street,2
stoke steamroller record artist channel american middle class taste like chip davis well sell band,2
come rescue get unique problem worry find financial planner specialized need,2
new customers town today customer increasingly demand asia world henry astorga describe complex reality face today marketer include high expectation today customer want performance want,2
barrel monkeys 2004 edition note philippine elections election time republic philippines mean monkey roll political barrel have fun laugh head strange going characterize democratic process loosely base american model de facto look like fellini movie cross tom jerry cartoon column include useful election year glossary,2
oldsmobile final parking lot general motors drop oldsmobile brand paradox gm face product image positioning consumer add brand little hope rebrande,2
job belong white man asian minorities affirmative action quest parity work smattering chinese filipinos japanese indians thais crow see kind sit prominent position corporation organization usa accomplishment mere cultural high fives ritualistic chest thump goad impishly patronize mainstream society mild gentler term white dominate populace,2
downhome pinoy blues intersecting life paths heartbreak songs blues alive philippines evidence appreciation pinoy blues band lampano alley pen columnist clarence henderson counterpoint usual economic business culture fare,2
real time modern manila blue bill monroe meet muddy waters orient globalization strange thing people day life manila philippines base business consultant prove talk muddy walters bluegrass work page,2
best asian tourism destination new apmf survey good asian tourism destination kick crowd chiang mai thailand lead perennial favourite hong kong bangkok phuket thailand bali indonesia vote let know reason,2
good city business asia new category apmf sense place survey good asian business city couple day singapore lead pack follow bangkok thailand hong kong enter vote comment view count new category include good city livability good tourism destination,2
alligator tale grow new york giant alligator ornately describe albino alligator rumor roam citys sewer system accord legend vacationer pick tiny crocodilian florida bring home new york eventually flush little bugger grow big local concrete jungle,2
